南部新城 风光里 中间楼层两房 满五年,风光里一期 -洪家园,2室1厅 | 60.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,163,"26,854元/平"
房龄新，全明户型、采光好，一手房业主，好楼层,瑞金路二号四号小区 -瑞金路,2室1厅 | 55.08平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,229,"41,576元/平"
户型方正、商品房，地铁口品质电梯房,银龙花园三期 -月牙湖,2室1厅 | 66平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,129,"19,546元/平"
小区生活方便，交通便利，总价低，刚需过渡合适,路子铺小区 -洪家园,2室1厅 | 40平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,116,"29,000元/平"
花园小区 电梯中间楼层 婚装房 看房随时,雅居乐花园 -秦虹,2室1厅 | 56.27平米 | 北 | 精装 | 中楼层(共11层)  | 板塔结合,178,"31,634元/平"
五老村 大行宫 低总价 诚心卖  采光不错,三条巷(秦淮) -五老村,2室1厅 | 46.27平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,115,"24,855元/平"
富康新村五号线地铁口月牙湖畔风景优美钥匙房,富康新村 -月牙湖,2室1厅 | 63.38平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,149,"23,509元/平"
业主自住装修 诚心卖 看房方便 业主好说话,白鹭小区东关头 -夫子庙,3室1厅 | 55.38平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,165,"29,795元/平"
南京南 南部新城 双南大两房 无收益金,汇景家园汇幸苑 -洪家园,2室1厅 | 67.7平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,183,"27,032元/平"
常府街 火瓦巷 外贸房改 低楼层 双南 采光好,火瓦巷26-3号 -新街口,3室1厅 | 91.61平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,420,"45,847元/平"
三山街地铁口，配套齐全，交通方便，有物业,金轮园 -来凤里,2室1厅 | 75.49平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,165,"21,858元/平"
新街口武学园 精装2房 有电梯 房龄新 不占用 采光好,武学园小区 -新街口,2室1厅 | 56.01平米 | 西南 | 精装 | 高楼层(共30层)  | 塔楼,255,"45,528元/平"
好楼层 视野好 不靠高架 精装修三大件,复地宴南都二期 -洪家园,3室2厅 | 97.74平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,415,"42,460元/平"
中间楼层，采光好，通风好，视野好,瑞金新村 -瑞金路,2室1厅 | 41.1平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,169,"41,120元/平"
新街口 太平南路商场旁 中间楼层 双南户型 全明,太平南路 -建康路,2室1厅 | 74.14平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,215,"29,000元/平"
满五年 夫子庙 三山街 钟英  地铁 明厨明卫 边户,王府园小区 -升州路,2室1厅 | 61.3平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,299,"48,777元/平"
南部新城 三号线 十号线 交通方便 配套成熟,土城头79号 -洪家园,2室1厅 | 46.57平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,75,"16,105元/平"
苜蓿园 月牙湖 卫岗 二十八所 中间楼层 房龄新 采光好,二十八所（北） -月牙湖,3室2厅 | 99.82平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,360,"36,065元/平"
扇骨里 龙蟠汇 自住精装三房 中间楼层 看房方便,扇骨里小区 -秦虹,3室1厅 | 66.31平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,178,"26,844元/平"
新街口 武学园3室一厅 电梯房 全明户型 带装修 急售,武学园小区 -新街口,3室1厅 | 82.51平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,340,"41,208元/平"
新街口石鼓路小区南北通透总价低两室一厅全明户型,石鼓路 -新街口,2室1厅 | 55.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,133,"24,165元/平"
三山街地铁口 万象天地 秦淮河畔 大三房客厅大 采光好,铜坊苑小区 -来凤里,3室1厅 | 100.32平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,229,"22,827元/平"
