地铁2号沿线次新小区中垠紫金观邸三房看房一般方便,中垠紫金观邸 -马群,4室2厅 | 122.24平米 | 南 北 | 其他 | 高楼层(共14层)  | 板楼,382,"31,250元/平"
楼层好 采光佳 配套成熟 交通便利,南砖新村 -迈皋桥,2室1厅 | 68.26平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,145,"21,243元/平"
南湾营润康苑 简单装修 小区中间位置,南湾营润康苑 -马群,3室1厅 | 85.32平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,120,"14,065元/平"
中垠紫金观邸 3室1厅 南 北,中垠紫金观邸 -马群,3室1厅 | 87.75平米 | 南 北 | 其他 | 中楼层(共14层)  | 板楼,285,"32,479元/平"
次新房小区，精装修带地暖，三室两厅一卫,华润幸福里 -尧化门,3室1厅 | 86.41平米 | 南 北 | 其他 | 高楼层(共26层)  | 塔楼,215,"24,882元/平"
凤来南园 两房朝南 纯毛坯 产权清晰 随时过户,凤来南园 -万寿,2室1厅 | 66.43平米 | 南 | 其他 | 低楼层(共29层)  | 塔楼,110,"16,559元/平"
欢乐谷旁 花园洋房 自住保养好 诚心出售 忍痛割肉,翡翠天域麓园  -栖霞其它,3室2厅 | 88.33平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,170,"19,247元/平"
乐居雅花园，2013年商品房，六号线地铁口,乐居雅花园 -万寿,2室1厅 | 78.39平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,150,"19,136元/平"
电建海赋尚城 3室1厅 南 北,电建海赋尚城 -万寿,3室1厅 | 98.26平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,280,"28,496元/平"
好楼层  小三房 好改大两房  500米到地铁,长营村 -迈皋桥,3室0厅 | 57.53平米 | 东 | 其他 | 中楼层(共6层)  | 板塔结合,135,"23,467元/平"
满五唯一顶楼带阁楼 位置好 小区环境安静舒适,长营村 -迈皋桥,2室1厅 | 61.29平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,122.5,"19,987元/平"
S6地铁站 楼层好 采光充足 精装修 生活配套完善,芝嘉花园 -马群,3室2厅 | 104.97平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,198,"18,863元/平"
马群站 天悦花园 位置好 采光无遮挡 业主诚售,天悦花园 -马群,5室2厅 | 157.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,320,"20,281元/平"
万象天地九悦 低密度洋房 自住精装 拎包入住 满二,万象天地九悦 -万寿,4室2厅 | 123.33平米 | 南 北 | 精装 | 低楼层(共9层)  | 暂无数据,520,"42,164元/平"
叠加别墅大露台 正规四房有车库车位  精装修拎包入住,汇杰文庭 -仙林,4室2厅 | 158.53平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,793,"50,023元/平"
燕子矶 一号北延线 大发燕澜湾 底跃 业主诚心出售,大发燕澜湾 -燕子矶,4室2厅 | 246.34平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,526,"21,353元/平"
百万装修 中间楼层 自住保养很好 采光充足,高科荣境二期 -仙林,4室2厅 | 177.21平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,850,"47,966元/平"
上下两层 五个大卧室 重装80多万 带大院子,尚东花园 -仙林,5室2厅 | 220.83平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,720,"32,605元/平"
联排别墅   小区密度低 采光好 独立车位 地铁迈皋桥站,雍璟府 -红山,5室2厅 | 275.18平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,1258,"45,716元/平"
满五，叠加别墅，采光好，精装修，房主急卖。,栖园北区 -仙林,6室2厅 | 154.49平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,1120,"72,497元/平"
紫金山下 奢华装修 天然氧吧 交通方便 出行方便,招商紫金山1号 -马群,4室1厅 | 160.68平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,760,"47,299元/平"
仙林2号线 南外旁 上叠自住装修很好 诚心出售,万山庭院 -仙林,4室2厅 | 268.29平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,1500,"55,910元/平"
高科荣境 大平层 东边户 中楼层 精装 满五唯一,高科荣境二期 -仙林,4室2厅 | 177.07平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,880,"49,698元/平"
保利紫晶山 联排别墅 业主装修近百万 满五年,保利紫晶山 -马群,5室2厅 | 396.48平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,1697,"42,802元/平"
精装东边户，南北通透，视野开阔，采光充足，保养如新,高科荣境二期 -仙林,4室2厅 | 177.04平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,829,"46,826元/平"
联排西边户花园大院，门前花开花落，庭外云卷云舒,东墅山庄 -仙林,6室3厅 | 328.67平米 | 南 | 精装 | 5层  | 暂无数据,1700,"51,724元/平"
高科荣境二期 4室2厅 南 北,高科荣境二期 -仙林,4室2厅 | 177.21平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,780,"44,016元/平"
一梯两户 采光充足无遮挡 户型方正,玲珑翠谷 -仙林,7室2厅 | 244.83平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,648,"26,468元/平"
银城君颐东方 芳泽园 复式跃层大露台花园,君颐东方 -马群,6室2厅 | 172.73平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,950,"55,000元/平"
满二深色系精装，东边户楼层采光好,高科荣境二期 -仙林,4室2厅 | 249.77平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,1260,"50,447元/平"
品质小区，环境优美，安全性高，配套成熟,东方天郡东区 -仙林,4室2厅 | 204.39平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,900,"44,034元/平"
万象天地九悦 低密度洋房 地铁口 拎包入住 边户 满二,万象天地九悦 -万寿,4室2厅 | 124.22平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,558,"44,921元/平"
2020年小高层 采光好 35万精装 拎包入住,电建洺悦府 -万寿,3室2厅 | 104.58平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,330,"31,555元/平"
紫金山下贰佰平米大平层 奢华洋房 附带车位,招商紫金山1号 -马群,4室2厅 | 195.44平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,760,"38,887元/平"
仙林湖高科荣境大平层 中等楼层 精装140W  满五年,高科荣境二期 -仙林,4室2厅 | 177.21平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,740,"41,759元/平"
4层洋房，得房率很高 顶跃户型 有大露台 使用面积大,康桥圣菲 -仙林,5室2厅 | 190.41平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,750,"39,389元/平"
迈皋桥地铁站 兰亭雅苑 底跃 看房随时,兰亭雅苑 -迈皋桥,5室3厅 | 187.65平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,458,"24,408元/平"
南北院  下跃 精装修满五年，价格可谈诚心出售,高科荣境二期 -仙林,5室2厅 | 240.34平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,720,"29,958元/平"
摄山星城天佑苑自住精装114平带阁楼 采光好 近地铁,摄山星城天佑苑 -栖霞其它,5室2厅 | 114.48平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,115,"10,046元/平"
城市绿洲花园洋房  跃层带电梯 楼层好 地铁口,城市绿洲花园 -晓庄,4室2厅 | 83.51平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,368,"44,067元/平"
融创一期 中间楼层 视野好 四室 不临街 满二,融创玉兰公馆一期 -燕子矶,4室2厅 | 129.61平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,490,"37,806元/平"
燕熙台精装修四房，江景房地铁口，配套齐全。。。。,燕熙台 -万寿,4室2厅 | 126.98平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,392,"30,872元/平"
高科荣境上叠别墅，有露台可见仙林湖，视野开阔,高科荣境一期 -仙林,4室2厅 | 316.95平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,1250,"39,439元/平"
精装修新空未住 南北庭院 采光无遮挡 小区中间安静,高科紫微堂 -栖霞其它,5室3厅 | 337.94平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,2520,"74,570元/平"
高科荣境 电梯入户 精装复式 配套齐全 诚心出售,高科荣境二期 -仙林,5室2厅 | 251.46平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,980,"38,973元/平"
拎包入住 顶跃复式 晓庄迈皋桥 1号北延线,望燕名居 -五塘广场,5室2厅 | 177.32平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,280,"15,791元/平"
万象天地九悦 低密度洋房 地铁口 拎包住 东边户 满二,万象天地九悦 -万寿,4室2厅 | 123.33平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,538,"43,623元/平"
采光好 房型好 晓庄万寿招商花园城万象汇,城市绿洲花园 -晓庄,3室2厅 | 123.84平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,330,"26,648元/平"
"迈皋桥地铁口,电梯小高层，无公摊，业主急售~便宜!",长营村28号 -迈皋桥,5室2厅 | 201.2平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,370,"18,390元/平"
招商花园城 双地铁 燕华花园 复式楼 纯毛坯 业主诚售,燕华花园 -万寿,5室1厅 | 188.31平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,350,"18,587元/平"
电建洺悦府 精装修婚房 有产权车位 中间楼层 价格可谈,电建洺悦府 -万寿,3室2厅 | 104.58平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,330,"31,555元/平"
洋房底跃 实用面积大业主二次装修80W+未入住 诚心出售,融信世纪东方 -仙林,5室3厅 | 223.4平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,790,"35,363元/平"
桂山堂发商精装修 中间楼层 视野好 251大平层,高科荣境二期 -仙林,5室3厅 | 249.96平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1250,"50,009元/平"
香溪月园 顶跃 精装修拎包入住 业主诚心出售 随时可看,香溪月圆 -仙林,4室2厅 | 166.99平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,580,"34,733元/平"
高科荣境 自住装修 满五年唯一 诚心出售,高科荣境二期 -仙林,4室2厅 | 338.21平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,1380,"40,804元/平"
精装下叠 保养很好 业主诚售 南北100平院子,保利紫晶山 -马群,4室2厅 | 251.71平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,750,"29,797元/平"
方圆绿茵 顶跃诚心卖保养新随时看房价格可谈,枫桥雅筑 -迈皋桥,3室1厅 | 170.39平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,352,"20,659元/平"
栖园北区 5室1厅 东,栖园北区 -仙林,5室1厅 | 267.9平米 | 东 | 精装 | 低楼层(共3层)  | 板楼,1980,"73,909元/平"
位置好 户型方正 改善住宅 次新房 底跃 诚心出售,高科荣境二期 -仙林,4室2厅 | 336.34平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1100,"32,706元/平"
高科品质 50平大院子 精装修 业主诚售,高科荣域 -仙林,5室2厅 | 335.86平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,1160,"34,539元/平"
高科大平层 带底跃 自住精装修 前后大院子 户型很实用,高科荣境二期 -仙林,4室2厅 | 345.95平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,1105,"31,942元/平"
香樟园花房洋房 上下两层 采光无遮 拎包入住,赛世香樟园 -仙林,4室2厅 | 141.92平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,455,"32,061元/平"
东方天郡上跃 精装东边户 采光好 实用面积大 含车位,东方天郡东区 -仙林,4室2厅 | 175.02平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,710,"40,567元/平"
房子满五年 无个税  下跃带车库 位置好  南师仙小仙中,尚东花园 -仙林,4室2厅 | 216.53平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,750,"34,638元/平"
复地低密大平层精装拎包入住业主诚售,复地御钟山二期 -马群,5室2厅 | 228.15平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1380,"60,487元/平"
满分得房率 顶跃楼上不算产权 商品房 银城物业 精装,兰亭雅苑 -迈皋桥,3室2厅 | 126.48平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,290,"22,929元/平"
高科荣境178平 位置居中 精装修 户型方正,高科荣境二期 -仙林,4室2厅 | 177.04平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,820,"46,318元/平"
满分得房率 顶跃楼上不算产权 商品房 银城物业 精装,兰亭雅苑 -迈皋桥,3室2厅 | 126.48平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,290,"22,929元/平"
保利二期四开间朝南 双阳台 飞机户型 四房大平层 精装,保利国际社区 -燕子矶,4室2厅 | 133.12平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,419,"31,476元/平"
马群地铁口 次新房 带电梯 三房 紫金山下,中垠紫金观邸 -马群,3室1厅 | 85.01平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,230,"27,056元/平"
仁恒公园世纪 小高层 边户 四房两卫 一号线笆斗山站,仁恒公园世纪 -燕子矶,4室2厅 | 156.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,730,"46,569元/平"
复地平墅150平朝南大院，300万装修拎包入住，尽显奢华,复地御钟山二期 -马群,4室2厅 | 328.32平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1650,"50,256元/平"
保利国际社区 改善四房两卫 南北双阳台 通透户型 诚售,保利国际社区 -燕子矶,4室2厅 | 133.14平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,535,"40,184元/平"
一楼边户下跃 保利紫晶山 百万装修 大院子250平,保利紫晶山 -马群,4室2厅 | 244.87平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,980,"40,022元/平"
小区中间位置，有院子，景观房，有下跃,复地御钟山一期 -马群,4室2厅 | 273.66平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1250,"45,678元/平"
一期中间楼层精装 保利物业 多层带电梯 高品质社区,保利紫晶山 -马群,4室2厅 | 191.66平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,750,"39,132元/平"
装修上百万   户型方正 有平有叠   位置安静怡居,天泓山庄云山苑 -马群,5室2厅 | 211.9平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,698,"32,941元/平"
高质量别墅 一梯一户电梯直达每一层  北院子 大露台,新城璞樾钟山 -马群,4室2厅 | 260.57平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1300,"49,891元/平"
璞樾钟山 顶豪 五房带露台 二次精装修100万 附6车位,新城璞樾钟山 -马群,5室2厅 | 194.13平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,1200,"61,815元/平"
尧化门 顶楼复式带露台 单价不到一万六 诚售,楓林新寓 -尧化门,5室2厅 | 126.26平米 | 东南 南 西南 西北 北 | 其他 | 高楼层(共6层)  | 板楼,190,"15,049元/平"
依云溪谷 仙林别墅 位置佳 下叠 院子 精装带地暖,依云溪谷 -仙林,4室2厅 | 289.82平米 | 南 | 精装 | 低楼层(共2层)  | 板楼,1160,"40,025元/平"
满3年精装 上下两层 采光好 带地暖 私家花园储藏室,嘉誉山 -迈皋桥,4室2厅 | 181.03平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,550,"30,382元/平"
天泓山庄精装顶跃 满五年且唯一,天泓山庄松山苑 -马群,4室2厅 | 166.54平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,728,"43,714元/平"
小区中间位置，边户南北通透无遮挡，业主诚心出售,新城香悦澜山 -仙林,3室2厅 | 100.74平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,295,"29,284元/平"
大两房 高楼层 满5年唯一 采光好 交通方便,万达茂御湖仕家一二期 -仙林,2室2厅 | 86.51平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,216,"24,969元/平"
金尧花园 精装三房 换房急售 房龄满五 有钥匙,金尧花园 -尧化门,3室1厅 | 88.81平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,155,"17,453元/平"
水沐雍荣府 改善大户型开发商精装 好楼层 换房诚售,水沐雍荣府 -仙林,3室2厅 | 112.45平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,319,"28,369元/平"
东方天郡西区 2室1厅 南,东方天郡西区 -仙林,2室1厅 | 77.94平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,267,"34,258元/平"
燕江新城江山苑 1室1厅 南,燕江新城江山苑 -万寿,1室1厅 | 54.03平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,89,"16,473元/平"
丁家庄二期 凤悦南园 两室一厅 出售,凤悦南园 -万寿,2室1厅 | 66.12平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,108,"16,334元/平"
丁家庄二期 风和东园 两室一厅 低楼层 毛坯,凤和东园 -万寿,2室1厅 | 66.24平米 | 南 | 毛坯 | 低楼层(共23层)  | 板塔结合,109,"16,456元/平"
东方天郡西区 2室1厅 南,东方天郡西区 -仙林,2室1厅 | 79.09平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,298,"37,679元/平"
新上花港玉兰园三房  房主换房诚心出售 看房随时联系,玉兰园 -马群,3室2厅 | 88.29平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,150,"16,990元/平"
尧林仙居 两房朝南 近地铁口苏果菜场医院 交通便利,尧林仙居 -尧化门,2室1厅 | 65.09平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,125,"19,205元/平"
燕子矶 地铁一号线 采光佳 楼层好 有产权车位 急售,招商1872公园里 -燕子矶,3室2厅 | 89.07平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,285,"31,998元/平"
丁家庄 燕升园3园 精装修 两室 边户,燕升园3园 -迈皋桥,2室1厅 | 65.17平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,130,"19,948元/平"
南湾营偏正南电梯两房 房东诚心卖,南湾营融康苑 -马群,2室1厅 | 63.64平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,97,"15,242元/平"
金尧新村 2室1厅 南,金尧新村 -尧化门,2室1厅 | 50.25平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,99,"19,702元/平"
尧林仙居 1室1厅 南,尧林仙居 -尧化门,1室1厅 | 46.13平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,88,"19,077元/平"
燕舞园3园 2室1厅 南,燕舞园3园 -迈皋桥,2室1厅 | 70.1平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,133,"18,973元/平"
高科178大平层 边户 中间楼层 诚心卖 看房方便,高科荣境二期 -仙林,4室2厅 | 177.21平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,858,"48,418元/平"
