楼龄新，近地铁，靠湖视野开阔，户型方正通透,万裕龙庭水岸 -江宁大学城,3室1厅 | 109.64平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,229,"20,887元/平"
满两年 精装自住三房 不靠双龙大道 有地暖 江宁核芯,万科翡翠公园 -九龙湖,3室2厅 | 87.42平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,299.8,"34,295元/平"
自住精装修，保养很好，可拎包入住，业主诚心出售,中南山锦花城 -江宁其它,3室1厅 | 78.67平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,200,"25,423元/平"
双地铁百家湖商圈 满5唯一 精装修大3房 很诚心卖,瑞鸿名邸 -百家湖,3室2厅 | 130.66平米 | 南 | 精装 | 低楼层(共20层)  | 塔楼,305,"23,344元/平"
熙悦三房两卫 全新东边户 楼层房型好 电梯口车位,熙悦一期 -麒麟科创园,3室2厅 | 105.05平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,268,"25,512元/平"
潭桥公寓5号地铁 自住婚装 唯一 有储藏室车位,潭桥公寓西苑 -科学园,3室1厅 | 92.09平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,155,"16,832元/平"
一号线地铁口200米，电梯房，中高楼层，等待有缘人！,书香名门 -东山镇,3室2厅 | 125.23平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,269,"21,481元/平"
熙悦二期精装修三室两厅两卫 ，边户，拎包入住,熙悦二期 -麒麟科创园,3室2厅 | 98.87平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,269,"27,208元/平"
银城物业 中间楼层 户型好 低总价！,银城蓝溪郡 -正方新城,4室1厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,169,"13,413元/平"
店长推荐=金王府带储藏室精装3房 南北通透 好楼层,金王府 -百家湖,3室1厅 | 92.89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,246,"26,483元/平"
五矿开发 自持物业 精装大四房 好位置 看房方便 诚售,东方龙湖湾南湖苑 -江宁大学城,4室2厅 | 147.57平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,330,"22,363元/平"
二次装修，拎包入住，诚心出售，看房方便,璟悦名邸（时代天樾） -青龙山国际新城,3室2厅 | 110.56平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,258,"23,336元/平"
上秦淮板块 满二 精装修三大件  中间楼层 诚心出售,银城旭辉云台天境 -上秦淮,3室2厅 | 88.85平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,236,"26,562元/平"
1号5号双地铁 满5年 业主诚心出售,武夷绿洲观竹苑 -科学园,3室1厅 | 84.51平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,199,"23,548元/平"
视野炸裂  采光无遮挡  业主诚售,保利梧桐语花园 -江宁大学城,2室1厅 | 67.86平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,159.5,"23,505元/平"
上善居 万达商圈  新县医院 义乌商品城 大两房精装修,上善居 -东山镇,2室2厅 | 84.93平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,189,"22,254元/平"
楼层好，视野开阔，户型方正，无遮挡,翠屏城 -禄口,2室1厅 | 114.9平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,98,"8,530元/平"
出门150米地铁口 采光好 总价低 业主诚心售 价格可谈,同曦公寓 -百家湖,1室1厅 | 49.39平米 | 西 | 其他 | 中楼层(共6层)  | 板楼,99,"20,045元/平"
新上房源!三开间朝南，新空毛坯，采光充足,翠屏城 -禄口,3室2厅 | 85.17平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,70,"8,219元/平"
精装修拎包入住  中高楼层采光无遮挡 业主诚心出售,龙湖春江郦城 -东山镇,3室2厅 | 107.94平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,429,"39,745元/平"
此房精装修 一梯一户 全屋空调 地暖 业主二次装修,招商正荣东望府 -江宁其它,4室2厅 | 117.62平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,268,"22,786元/平"
业主诚心出售  好楼层   采光佳   拎包入住,朗诗青春街区 -禄口,3室2厅 | 75.77平米 | 南 | 其他 | 中楼层(共10层)  | 板塔结合,90,"11,879元/平"
居家装修 采光好 楼层适中 小区舒适 带电梯 诚售,翠屏国际金榕苑 -将军大道,3室2厅 | 143.75平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,298,"20,731元/平"
万裕龙庭水岸 满五年唯一 精装修三房 阳光充足 视野好,万裕龙庭水岸 -江宁大学城,3室2厅 | 87.63平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,199,"22,710元/平"
店长五星推荐  招商依云郡  可以拎包入住的好房子,招商依云郡 -禄口,3室1厅 | 87.45平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,116,"13,265元/平"
翠屏国际城梧桐苑 采光充足配套齐全 交通便利 湖景,翠屏国际梧桐苑 -将军大道,3室2厅 | 159.98平米 | 东 西 | 精装 | 低楼层(共1层)  | 板楼,282,"17,628元/平"
区域推荐好房 住宅带燃气 带飘窗带阳台,同曦新贵之都 -百家湖,1室1厅 | 46.78平米 | 西 | 精装 | 低楼层(共30层)  | 塔楼,85,"18,171元/平"
楼层好，采光无遮挡，视线开阔，一号线双龙大道地铁,盈嘉青春渡 -岔路口,1室1厅 | 40.12平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,69.8,"17,398元/平"
两百平方院子，精装修，业主出国急卖，小区就这一套,翠屏湾花园城 -将军大道,5室1厅 | 176.67平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,399,"22,585元/平"
市政两房 居家装修 采光好 万科物业,市政天元城 -东山镇,2室1厅 | 67.95平米 | 东北 | 精装 | 高楼层(共13层)  | 板塔结合,143,"21,045元/平"
小高层 中间楼层  采光好 精装 满二 自住,中海国际社区二期 -麒麟科创园,2室1厅 | 78.04平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,182,"23,322元/平"
此房满五唯一，全明单室套，带燃气格局好，近地铁,天泰青城苑 -将军大道,1室1厅 | 45.53平米 | 西 北 | 其他 | 中楼层(共27层)  | 板楼,100,"21,964元/平"
总监推荐好房 正规一居室  小区新 环境好 急卖,东渡国际青年城 -东山镇,1室1厅 | 37.18平米 | 北 | 简装 | 中楼层(共26层)  | 板楼,101,"27,166元/平"
汤水雅居北苑 楼层好 位置佳 业主诚意,汤水雅居北苑 -汤山镇,3室1厅 | 107.72平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,82,"7,613元/平"
满2年精装修三大件 没住过 次新房 采光好,熙悦一期 -麒麟科创园,3室2厅 | 99.87平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,260,"26,034元/平"
麒麟山庄  地段好  环境好 临地铁,麒麟山庄 -麒麟镇,3室2厅 | 124.7平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,178,"14,275元/平"
精装修拎包入住，小三房，享受青龙山配套， 诚信出售,融侨悦城 -江宁其它,3室2厅 | 86.36平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,190,"22,001元/平"
采光好 视野开阔 小区配套较完善,朗诗青春街区 -禄口,3室1厅 | 75.72平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,92,"12,151元/平"
此房高楼层，采光无遮挡，业主诚心卖，价格可谈,金轮津桥华府 -江宁大学城,2室1厅 | 87.62平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,176,"20,087元/平"
九龙湖恒大绿洲   精装三房   高楼层视野佳采光好,南京恒大绿洲 -九龙湖,3室2厅 | 139.07平米 | 南 | 其他 | 高楼层(共31层)  | 塔楼,365,"26,246元/平"
业主急售，好楼层 地铁口小区，小高层设计，密度低,中粮彩云居 -九龙湖,3室2厅 | 96.6平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,328,"33,955元/平"
蓝光睿创新筑二期 楼层位置佳 采光好 户型方正 随时看,蓝光睿创新筑涵翠园 -麒麟科创园,4室2厅 | 129.37平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,348,"26,900元/平"
中高楼层 采光视野俱佳 安静宜居 婚装拎包入住,新城玖珑湖二期 -九龙湖,3室2厅 | 94.02平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,298,"31,696元/平"
麒麟科创园 此房通透性好 随时看房 急售,启迪方洲智园 -麒麟科创园,4室2厅 | 122.49平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,218,"17,798元/平"
此房满五唯一 精装修 动静分离 业主急卖,江南青年城蓝水苑 -将军大道,3室3厅 | 119.96平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,198,"16,506元/平"
一期带地暖 精装修 满两年 拎包入住,翠屏诚园 -上秦淮,3室1厅 | 81.6平米 | 南 北 | 其他 | 16层  | 板楼,235,"28,800元/平"
德系花园洋房  户型方正，采光好，飞机户型,翠屏湾花园城 -将军大道,4室2厅 | 125.35平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,227.9,"18,182元/平"
西边户，采光无遮挡，次新房，开发商精装修,融侨悦城 -江宁其它,4室1厅 | 107.97平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,210,"19,450元/平"
满五唯一精装 小区环境好 配套设施齐全,明月港湾星河湾 -岔路口,2室2厅 | 62.92平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,142,"22,569元/平"
银城品质，改善四房，诚心换房，看房方便!,银城旭辉云台天境 -上秦淮,4室2厅 | 118.76平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,301,"25,346元/平"
满五唯一，首套房只有契税1%，楼层好，精装修拎包入住,银城一方山 -江宁大学城,3室2厅 | 88.72平米 | 北 南 | 精装 | 高楼层(共10层)  | 板塔结合,232,"26,150元/平"
花园洋房 次顶楼 飞机户型 得房率高 随时看房  一口价,中南山锦花城 -江宁其它,3室2厅 | 96.02平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,208,"21,663元/平"
（店长推荐）满二 保利品质 视野好 地铁口 新空,新城保利天地 -禄口,4室2厅 | 88.16平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,104.9,"11,899元/平"
视野好 边户三房 采光好 诚心出售,丹佛小镇 -将军大道,3室2厅 | 81.23平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,165,"20,313元/平"
此房精装  楼层好  采光无遮挡  满五唯一,保利梧桐语花园 -江宁大学城,3室2厅 | 90.93平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,210,"23,095元/平"
近地铁，小区位置好 ，大三房，总价低,江南青年城蓝水苑 -将军大道,3室2厅 | 116.25平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,199,"17,119元/平"
店长推荐 户型好装修好 品牌家电 博士地暖 诚心出售,东方龙湖湾南湖苑 -江宁大学城,3室1厅 | 119.42平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,329,"27,550元/平"
精装修 新空未入住 中间楼层采光无遮挡,龙湖春江郦城 -东山镇,3室2厅 | 127.86平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,538,"42,078元/平"
急售：双阳台，精装修三房，高楼层，采光和视野无遮挡,保利梧桐语花园 -江宁大学城,3室2厅 | 83.98平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,178,"21,196元/平"
大学城交院站好房 全屋地暖 有花园 诚信售,天正天御溪岸B区 -江宁大学城,3室1厅 | 97.94平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,226,"23,076元/平"
精装修拎包入住  中高开阔视野  保养精致  换房诚售,五矿澜悦栖原 -上秦淮,3室2厅 | 90.76平米 | 南 | 其他 | 中楼层(共20层)  | 板楼,280,"30,851元/平"
花园洋房 低密度 环境好 装修好 麒麟科创园,富力十号 -麒麟科创园,3室2厅 | 119.4平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,410,"34,339元/平"
武夷名仕园，新空毛坯，小区中间位置，飞机户型满两年,武夷名仕园 -江宁大学城,3室2厅 | 123.18平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,219,"17,779元/平"
精装修 带地暖 看房方便 诚心出售,中粮鸿云坊 -青龙山国际新城,3室1厅 | 89.3平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,205,"22,957元/平"
精装修，拎包入住，中高楼层，户型方正，前方无遮挡,托乐嘉旺邻居 -将军大道,3室1厅 | 87.81平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,330,"37,582元/平"
精装修 带地暖 看房方便 诚心出售,中粮鸿云坊 -青龙山国际新城,3室1厅 | 89.3平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,205,"22,957元/平"
满五年 楼层好 5.2米带燃气 使用面积大 业主诚心出售,天元吉第城 -东山镇,3室1厅 | 53.96平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,145,"26,872元/平"
花园洋房 低密度 环境好 装修好 麒麟科创园,富力十号 -麒麟科创园,3室2厅 | 119.4平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,410,"34,339元/平"
武夷名仕园，新空毛坯，小区中间位置，飞机户型满两年,武夷名仕园 -江宁大学城,3室2厅 | 123.18平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,219,"17,779元/平"
此房满两年，装修保养好，户型好，拎包入住,武夷名仕园 -江宁大学城,3室2厅 | 107.03平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,212,"19,808元/平"
百家湖 湖景房 景枫金鹰1912摩天轮旁 一号线地铁出行,蓝宝湾花园 -百家湖,3室2厅 | 174.27平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,449,"25,765元/平"
万科改善必看三房视野好品质高业主诚售欢迎各位来看房,万科金域蓝湾 -九龙湖,3室2厅 | 115.34平米 | 北 南 | 精装 | 中楼层(共31层)  | 板楼,365,"31,646元/平"
此房满二不唯一，南北通风，楼层好，位置好，央企物业,保利中央公园西苑 -九龙湖,3室2厅 | 109.45平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,375,"34,263元/平"
此房格局好，有电梯 有小牛头山 环境优美，视野开阔,华汇康城 -麒麟镇,3室2厅 | 125.17平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,198,"15,819元/平"
业主二次装修，主卧卫生间已改造，采光无遮挡诚心出售,恒大悦澜湾 -上秦淮,3室2厅 | 95.13平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,243,"25,544元/平"
精装顶跃 实用150平 带南北双露台 改善优选,华菁水苑 -江宁大学城,3室2厅 | 118.66平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,239,"20,142元/平"
户型方正 采光好 楼层好 业主诚心卖 看房方便,紫峰公馆 -东山镇,3室1厅 | 87.48平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,240,"27,435元/平"
保利梧桐语 精装三房 户型方正 装修好 可拎包入住,保利梧桐语花园 -江宁大学城,3室1厅 | 87.28平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,188,"21,540元/平"
此房满五唯一双地铁，看房方便，价格好沟通，户型通透,湖滨公寓 -百家湖,3室2厅 | 114.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,235,"20,525元/平"
满五唯一，装修保养的比较好，拎包入住。,翠屏湾花园城 -将军大道,3室1厅 | 107.1平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,189,"17,648元/平"
总监强烈推荐 满2年 银城物业 有入户花园 有墙暖,银城蓝溪郡 -正方新城,3室2厅 | 86.33平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,93,"10,773元/平"
三房，南北，视野宽阔，采光好，配套设施齐全,东郊小镇第八街区 -麒麟镇,3室2厅 | 90.69平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,99,"10,917元/平"
诚心出售，小区里不靠高铁的楼栋，较安静,融侨悦城 -江宁其它,3室2厅 | 119.37平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,210,"17,593元/平"
楼层位置不错 采光好 业主诚心出售,锁石苑 -麒麟镇,3室1厅 | 88.09平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,102,"11,580元/平"
紫荆城锁石苑 出行方便 业主诚心出售,锁石苑 -麒麟镇,3室1厅 | 88.09平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,100,"11,353元/平"
保利梧桐语 不靠马路 不临街 阳光充足 视野开阔,保利梧桐语花园 -江宁大学城,3室2厅 | 90.86平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,198,"21,792元/平"
中间层，采光通风效果佳，居家装修，拎包住，看房方便,保利梧桐语花园 -江宁大学城,4室2厅 | 137.53平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,280,"20,360元/平"
银城云台天境新上高楼层精装三房,银城旭辉云台天境 -上秦淮,3室2厅 | 88.01平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,218,"24,770元/平"
业主急售 中海纯毛坯大四房 东边户采光好,中海国际社区一期 -麒麟科创园,4室2厅 | 139.18平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,309,"22,202元/平"
风声 教堂声 学子声 山景 河景 远景 欢迎品鉴,中冶天城 -九龙湖,4室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,320,"25,197元/平"
喜欢大院子 爱花草的千万不能错过此房 阳光充足,水韵别墅 -百家湖,5室2厅 | 173.71平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,598,"34,426元/平"
禄口招商依云郡大三房 房东诚意出售 价格可谈,招商依云郡 -禄口,3室2厅 | 88.7平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,116,"13,078元/平"
满五年 无抵押 空置看房方便有钥匙 房子带阁楼露台,碧水湾花园 -岔路口,3室2厅 | 91.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,159,"17,378元/平"
经贸学院地铁口 满两年 精装修  位置好 无遮无挡,中航樾广场 -江宁大学城,3室2厅 | 97.4平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,288,"29,569元/平"
