精装修 中间楼层 视野开阔 诚心出售,银城花园北片 -龙江,3室1厅 | 78.85平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,335,"42,486元/平"
察哈尔路十二新村小号院 一楼带大院子西边户 采光好,察哈尔路十二新村 -水佐岗,3室1厅 | 71.03平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,240,"33,789元/平"
剑阁路 汉口西路 南北通透 双阳台三房 明厨明卫,剑阁路 -宁海路,3室1厅 | 73.39平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,562,"76,578元/平"
满五年唯一 全屋智能精装 双南户型 拎包入住,小市村 -小市,2室1厅 | 61.41平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,145,"23,612元/平"
29  精装低总价三房 采光好 虎踞路 清凉门 场门口,场门口小区14号 -龙江,3室0厅 | 66.47平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,345,"51,904元/平"
一楼  可以做连家店  满五年唯一 诚意出售,青云巷(鼓楼) -湖南路,2室1厅 | 50.72平米 | 西北 | 简装 | 低楼层(共7层)  | 板楼,162,"31,941元/平"
湖南路商圈.高层电梯，高品质小区，跃层带大露台,文云巷 -湖南路,5室2厅 | 203.1平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,950,"46,775元/平"
小区出新 不临街全明户型 非顶楼 房龄92年 三牌楼,和会街 -三牌楼,2室1厅 | 58.38平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,185,"31,689元/平"
中海凤凰花园 顶跃三层 可看湖景 满五年 开发商精装,中海凤凰熙岸二期 -凤凰西街,6室2厅 | 238.22平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,1800,"75,561元/平"
29 有院子不占用 停车方便 户型方正 阳光好,五台山 -华侨路,3室1厅 | 63.14平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,470,"74,438元/平"
新上星河翠庭 电梯顶跃 看房方便 不临街 急售 诚心售,星河翠庭 -五塘广场,3室2厅 | 143.67平米 | 南 北 | 其他 | 高楼层(共9层)  | 板塔结合,458,"31,879元/平"
燕禾园 5室3厅 南 北,燕禾园 -金陵小区,5室3厅 | 89.61平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,265,"29,573元/平"
润开华府 少有的叠墅 一楼带院子 精装修 有车位,润开华府 -热河南路,5室3厅 | 228.6平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,1028,"44,970元/平"
带车位 幕府山脚下 地铁口 诚心卖 旭日景城,旭日景城 -五塘广场,3室2厅 | 120.07平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,470,"39,144元/平"
鼓楼区 小市地铁口 金碧花园  楼层佳 阳光好,金碧花园 -小市,2室1厅 | 74.41平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,165,"22,175元/平"
北阴阳营8号小区 双南户型厨卫客厅朝北 阳光好 户型正,北阴阳营8号 -湖南路,2室1厅 | 59.81平米 | 南 北 | 精装 | 4层  | 板楼,240,"40,128元/平"
业主诚售 电梯房，三卧朝南，采光充足，配套设施齐全,苏宁千秋情缘花园 -龙江,3室2厅 | 144.52平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,660,"45,669元/平"
金帆北苑 无个税 电梯房 双南全明 东边户 交通便利,金帆北苑 -金陵小区,2室2厅 | 72.35平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,208,"28,750元/平"
华侨路 上海路 豆菜桥小区 中间楼层 低总价2房 诚售,豆菜桥小区 -华侨路,2室1厅 | 50.94平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,160,"31,410元/平"
业主诚售 电梯房，三卧朝南，采光充足，配套设施齐全,苏宁千秋情缘花园 -龙江,3室2厅 | 144.52平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,660,"45,669元/平"
苏宁睿城 4室1厅 南,苏宁睿城 -万达广场,4室1厅 | 175.64平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,1500,"85,402元/平"
商品房09年房龄新   精装修全明户型  南北通透中楼层,燕江园小区 -金陵小区,2室1厅 | 61.35平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,185,"30,155元/平"
精装全明户型 随时看房 金陵小区新五村  业主诚心出售,金陵新五村 -金陵小区,2室1厅 | 63.62平米 | 南 西南 | 精装 | 中楼层(共7层)  | 板楼,145,"22,792元/平"
正规两房  带免费固定车位  精装 价格可谈,金陵新五村 -金陵小区,2室1厅 | 53.32平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,122,"22,881元/平"
江雁依山郡 3室1厅 南,江雁依山郡 -金陵小区,3室1厅 | 82.55平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,340,"41,188元/平"
凤凰西街2000年商品房户型通透装修好拎包住产权清晰,名城世纪园 -凤凰西街,1室1厅 | 43.26平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,160,"36,986元/平"
民佳园小区 2室2厅 南,民佳园小区 -定淮门大街,2室2厅 | 77.62平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,520,"66,994元/平"
精装修拎包入住  南北通透户型好  近地铁,金陵新七村 -金陵小区,1室1厅 | 41.7平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,110,"26,379元/平"
西康路 力小 双南户型 精装修 视野开阔 诚售,西康路 -宁海路,2室1厅 | 56.82平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,490,"86,238元/平"
和燕路迈皋桥地铁口中间楼业主诚心出售,金宁新村小区 -小市,2室1厅 | 69.41平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,180,"25,933元/平"
新民村双卧朝南精装修户型方正  采光好采光无遮挡,新民村 -建宁路,3室1厅 | 62.4平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,160,"25,642元/平"
满五唯一 双南两房 边户 居住舒适  视野好,佳盛花园 -热河南路,3室2厅 | 91.46平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,312,"34,114元/平"
三牌楼小区双南一北 拎包住 二楼无遮挡 采光佳三室,三牌楼大街 -三牌楼,3室1厅 | 71.76平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,255,"35,536元/平"
世茂滨江新城开发商精装，有地暖，随时看房,世茂滨江新城 -热河南路,5室2厅 | 306.05平米 | 南 北 | 其他 | 高楼层(共52层)  | 板塔结合,1088,"35,550元/平"
新上 迎江园 低楼层 精装两房 客厅带大窗 装修保养好,迎江园 -定淮门大街,2室1厅 | 62.77平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,469,"74,718元/平"
和燕路迈皋桥恒基商品房电梯房双南2房采光好,恒基金满庭 -小市,2室1厅 | 94.55平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,340,"35,960元/平"
五所村小区 2室1厅 南 北,五所村小区 -建宁路,2室1厅 | 55.26平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,138,"24,973元/平"
有钥匙 随时看 诚心出售 看房方便 户型方正,凤凰街 -汉中门大街,2室1厅 | 62.92平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,240,"38,144元/平"
十二中  一楼 带院子 不临街 看房方便 业主诚心出售,姜家圩 -热河南路,2室1厅 | 49.19平米 | 南 | 其他 | 低楼层(共5层)  | 板塔结合,200,"40,659元/平"
龙江 金陵名人居 商品房 人车分流 电梯 采光好,金陵名人居 -龙江,3室1厅 | 135.86平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,720,"52,996元/平"
虎踞路 3室1厅 南,虎踞路 -华侨路,3室1厅 | 75.76平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,435,"57,419元/平"
桥景苑 3室1厅 北 西 南,桥景苑 -建宁路,3室1厅 | 76.84平米 | 北 西 南 | 其他 | 低楼层(共18层)  | 板楼,260,"33,837元/平"
珠江路地铁口精装修非顶楼大两房价格可谈,广州路 -华侨路,3室2厅 | 82.26平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,345,"41,941元/平"
附带大阳台纯毛坯大三房 看房随时价格可谈诚售,金陵御沁园 -龙江,3室2厅 | 147.09平米 | 南 北 | 其他 | 低楼层(共19层)  | 板塔结合,620,"42,152元/平"
上海路 3室1厅 南,上海路 -华侨路,3室1厅 | 83.73平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,265,"31,650元/平"
永嘉年华 2室1厅 南,永嘉年华 -龙江,2室1厅 | 60.65平米 | 南 | 其他 | 中楼层(共21层)  | 板塔结合,495,"81,616元/平"
萍聚村 2室1厅 南,萍聚村 -华侨路,2室1厅 | 49.11平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,350,"71,269元/平"
南师大校园内环境好三房低楼层汉口西路,南师大西山 -宁海路,3室1厅 | 78.67平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,700,"88,980元/平"
萍聚村 2室1厅 南,萍聚村 -华侨路,2室1厅 | 49.11平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,350,"71,269元/平"
此房处于鼓楼龙江，带电梯三房，交通便利，户型方正,高教新村 -草场门大街,3室1厅 | 95.86平米 | 东 南 | 其他 | 低楼层(共28层)  | 塔楼,350,"36,512元/平"
汉中门大街 2号线地铁莫愁湖站 莫愁湖公园  满五年,汉北街8号 -汉中门大街,2室1厅 | 53.24平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,170,"31,931元/平"
双南一北 精装修 清凉山庄 乌龙潭 虎踞路 有小区,清凉山庄 -华侨路,3室1厅 | 92.34平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,445,"48,192元/平"
凤凰西街 裕华名居电梯大两房全明户型 不占 人车分流,裕华名居 -凤凰西街,2室2厅 | 106.72平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,440,"41,230元/平"
育才公寓西片 3室2厅 南,育才公寓西片 -凤凰西街,3室2厅 | 74.92平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,470,"62,734元/平"
精装两房 全南户型 拎包入住 有钥匙随时看房,新河二村 -定淮门大街,2室1厅 | 56.79平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,390,"68,675元/平"
龙江 凤凰西街 满5年 实用面积大 采光好,名城世纪园 -凤凰西街,3室2厅 | 68.36平米 | 南 | 其他 | 低楼层(共14层)  | 板楼,258,"37,742元/平"
深业揽江府 毛坯一线江景 户型方正,深业揽江府 -建宁路,3室2厅 | 141.23平米 | 南 北 | 其他 | 低楼层(共47层)  | 板楼,699,"49,494元/平"
房子是 省中医院单位房 格局好全明结构 精装修,杏林新村 -凤凰西街,3室1厅 | 86.89平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,370,"42,583元/平"
怡景花园 拉萨路 峨嵋岭 电梯房 精装修 上海路地铁口,怡景花园 -华侨路,2室1厅 | 66.02平米 | 东南 | 其他 | 高楼层(共26层)  | 塔楼,490,"74,220元/平"
此房满五年，产权清晰，采光好，业主诚心出售。,新城市假日 -龙江,3室2厅 | 117.36平米 | 东南 | 其他 | 中楼层(共18层)  | 板塔结合,530,"45,161元/平"
电梯房 全明大三房西边户 南北通透 满五年唯一,金陵名人居 -龙江,3室2厅 | 135.86平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,690,"50,788元/平"
3号线7号线 双地铁 电梯洋房小区 业主诚心卖,江雁依山郡 -金陵小区,3室2厅 | 126.09平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,468,"37,117元/平"
不临街  户型方正  双南户型  配套齐全 地铁3-7 号线,云谷山庄 -五塘广场,2室1厅 | 67.28平米 | 南 | 其他 | 低楼层(共10层)  | 板塔结合,189,"28,092元/平"
青岛路小区 3室1厅 西南,青岛路小区 -宁海路,3室1厅 | 70.29平米 | 西南 | 其他 | 中楼层(共6层)  | 板楼,240,"34,145元/平"
三牌楼福建路新门口 出新 不临街 四室一厅使用面积大,新门口 -三牌楼,4室1厅 | 62.73平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,160,"25,507元/平"
此房满五年 通透  全明户型 交通便利住宅底商,紫竹林 -许府巷,2室1厅 | 69.6平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,255.7,"36,739元/平"
水佐岗 三步两桥 全明三房 边户 居家装修 满五年,三步两桥 -水佐岗,3室1厅 | 77.06平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,298,"38,672元/平"
好楼层 生活很方便 采光充足的好房,姜圩路小区 -热河南路,3室1厅 | 64.57平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,205,"31,749元/平"
凤凰西街，多层一楼带院子，业主诚心出售,凤凰西街223号 -凤凰西街,2室1厅 | 44.97平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,145,"32,244元/平"
此房满五年  产权清晰 业主诚心出售,汉口西路 -宁海路,3室1厅 | 210.07平米 | 东南 | 其他 | 高楼层(共10层)  | 暂无数据,1200,"57,124元/平"
金阜雅苑小高层电梯房正规三房视野好诚心卖,金阜雅苑 -福建路,3室1厅 | 99.4平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,350,"35,212元/平"
深业揽江府 全新未入住 精装修保养好,深业揽江府 -建宁路,4室2厅 | 165.27平米 | 南 | 其他 | 低楼层(共47层)  | 塔楼,760,"45,986元/平"
铁路北街 南财 金川雅苑 三房 次顶楼 诚心卖 看房随时,金川雅苑 -福建路,3室1厅 | 75.64平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,215,"28,425元/平"
黑龙江路汇林一期顶楼复式采光无遮挡看房随时,汇林绿洲上林苑 -许府巷,4室1厅 | 132.64平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,455,"34,304元/平"
满五唯一 中楼层双南两房采光视野好,安怀新村 -小市,2室1厅 | 63.87平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,135,"21,137元/平"
中冶锦绣华府中苑 毛坯 中间楼层,中冶盛世滨江 -建宁路,4室2厅 | 174.22平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,850,"48,789元/平"
新街口 华侨路 中间楼层 采光好 南北通透 精装修 全明,豆菜桥小区 -华侨路,3室1厅 | 66.99平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,245,"36,573元/平"
此房天妃宫，楼层好总价低的一套毛坯房！,卢龙山庄 -建宁路,3室2厅 | 131.78平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,450,"34,148元/平"
此房满五不唯一，南北通透，采光充足，很安静很安静,清江花苑绿茵园 -定淮门大街,3室1厅 | 100.66平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,458,"45,500元/平"
商会大厦黄金楼4-1-1-2房评,商会大厦黄金楼 -龙江,4室1厅 | 153.56平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,328,"21,360元/平"
此房满五年，双南户型方正，视野开阔无遮挡,水佐岗32巷 -水佐岗,2室1厅 | 55.6平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,188,"33,813元/平"
南审福利分房  得房率高  小区环境好 看房方便,凤凰西街152号 -凤凰西街,4室1厅 | 194.79平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,649,"33,318元/平"
一楼 满五唯一 户型方正 朝南，房龄新,五台山庄 -华侨路,3室2厅 | 107.75平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,820,"76,103元/平"
地铁口 华府北苑  江景房 南北通透 得房率高,锦绣华府北苑 -建宁路,5室3厅 | 223.86平米 | 南 北 | 其他 | 低楼层(共8层)  | 板塔结合,988,"44,135元/平"
汇林绿洲空中叠墅 上下跃层 栖霞建设 有两个车位,汇林绿洲广林苑 -许府巷,5室2厅 | 221.42平米 | 南 北 | 其他 | 高楼层(共9层)  | 板楼,990,"44,712元/平"
中海凤凰熙岸一期 一楼下跃 毛坯 字母车位,中海凤凰熙岸一期 -凤凰西街,7室2厅 | 330.08平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,1680,"50,897元/平"
金陵湾  新上 江景房 业主急售,恒盛金陵湾 -定淮门大街,4室1厅 | 261.41平米 | 南 西 北 | 其他 | 中楼层(共53层)  | 板塔结合,1450,"55,469元/平"
龙江 香榭里 5房3卫 南北通 透采光好 银城 看房方便,香榭里 -龙江,5室3厅 | 201.41平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,760,"37,734元/平"
邮政世纪花园 顶楼带阁楼 实际使用面积大 诚心卖房,邮政世纪花园 -凤凰西街,5室2厅 | 87.84平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,758,"86,294元/平"
满五 多层顶跃5房居家精装带大露台 有车位,金信花园 -龙江,5室2厅 | 158.41平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,726,"45,831元/平"
鼓楼区 南审教职工 满五年 房龄新 有车位 业主诚售,凤凰西街152号 -凤凰西街,4室2厅 | 122.31平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,428,"34,994元/平"
中海次新房 平层大四居 双阳台 视野开阔 采光无遮挡,中海桃源里 -热河南路,4室2厅 | 157.21平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,999,"63,546元/平"
全新 稀有景观大平层  业主诚售,中海桃源里 -热河南路,4室2厅 | 159.26平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,950,"59,651元/平"
湖南路商圈天福园高档小区 湖南湖狮子桥小吃一条街,天福园 -湖南路,7室2厅 | 235.02平米 | 南 | 其他 | 高楼层(共16层)  | 板塔结合,795,"33,827元/平"
使用面积大 双卫 不临街 诚心出售,新河一村 -定淮门大街,4室2厅 | 50.21平米 | 南 北 | 其他 | 低楼层(共2层)  | 板楼,379,"75,483元/平"
惠纺园 房龄新 电梯房 诚心出售 精装修 满五年,惠纺园小区 -热河南路,3室2厅 | 84.55平米 | 南 北 | 其他 | 高楼层(共20层)  | 板塔结合,405,"47,901元/平"
鼓楼区 嘉景苑 6室三卫 4个阳台带露台 带车位,嘉景苑 -凤凰西街,6室1厅 | 236.01平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1300,"55,083元/平"
鼓北滨江大平层，改善之家大四房，墅质电梯花园洋房,德水香林 -五塘广场,4室2厅 | 165.26平米 | 南 东 | 其他 | 低楼层(共7层)  | 板楼,638,"38,606元/平"
树人 百合果园 顶跃 满5年 不占用,百合果园 -定淮门大街,5室2厅 | 160平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,720,"45,000元/平"
金陵世纪花园阁楼房 视野宽阔 采光好 看房有钥匙,金陵世纪花园 -凤凰西街,4室2厅 | 85.66平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,599,"69,928元/平"
苏宁睿城 新空毛坯 有钥匙  随时看房 满两年,苏宁睿城 -万达广场,5室1厅 | 214.8平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,1480,"68,902元/平"
